,Sample,Cement,Sand,Aggregate,FA,Cyclodextrin,Water,Days,Load 1,Comp. 1,Load 2,Comp. 2,Load 3,Comp. 3
,C0.1CD (A),449.55,720,1076,0,0.45,225,7,395,39.5,397,39.7,416,41.6
,C0.1CD (A),449.55,720,1076,0,0.45,225,14,534,53.4,540,54,535,53.5
,C0.1CD (A),449.55,720,1076,0,0.45,225,28,596,59.6,600,60,602,60.2
,C0.1CD (A),449.55,720,1076,0,0.45,225,90,700,70,698,69.8,697,69.7
,C0.1CD (A),449.55,720,1076,0,0.45,225,180,776,77.6,772,77.2,770,77
,C30FA0.025CD (A),315,720,1076,134.89,0.1125,225,7,279,27.9,307,30.7,283,28.3
,C30FA0.025CD (A),315,720,1076,134.89,0.1125,225,14,440,44,437,43.7,434,43.4
,C30FA0.025CD (A),315,720,1076,134.89,0.1125,225,28,487,48.7,491,49.1,493,49.3
,C30FA0.025CD (A),315,720,1076,134.89,0.1125,225,90,626,62.6,624,62.4,622,62.2
,C30FA0.025CD (A),315,720,1076,134.89,0.1125,225,180,742,74.2,740,74,738,73.8
,C30FA0.05CD (A),315,720,1076,134.78,0.225,225,7,277,27.7,289,28.9,279,27.9
,C30FA0.05CD (A),315,720,1076,134.78,0.225,225,14,470,47,475,47.5,469,46.9
,C30FA0.05CD (A),315,720,1076,134.78,0.225,225,28,520,52,525,52.5,522,52.2
,C30FA0.05CD (A),315,720,1076,134.78,0.225,225,90,655,65.5,658,65.8,660,66
,C30FA0.05CD (A),315,720,1076,134.78,0.225,225,180,765,76.5,767,76.7,766,76.6
,C30FA0.1CD (A),315,720,1076,134.55,0.45,211.5,7,395,39.5,397,39.7,416,41.6
,C30FA0.1CD (A),315,720,1076,134.55,0.45,211.5,14,534,53.4,540,54,535,53.5
,C30FA0.1CD (A),315,720,1076,134.55,0.45,211.5,28,596,59.6,600,60,602,60.2
,C30FA0.1CD (A),315,720,1076,134.55,0.45,211.5,90,700,70,698,69.8,697,69.7
,C30FA0.1CD (A),315,720,1076,134.55,0.45,211.5,180,776,77.6,772,77.2,770,77
,C50FA0.025CD (A),225,720,1076,224.89,0.1125,211.5,7,196,19.6,200,20,203,20.3
,C50FA0.025CD (A),225,720,1076,224.89,0.1125,211.5,14,258,25.8,257,25.7,257,25.7
,C50FA0.025CD (A),225,720,1076,224.89,0.1125,211.5,28,320,32,322,32.2,325,32.5
,C50FA0.025CD (A),225,720,1076,224.89,0.1125,211.5,90,460,46,462,46.2,459,45.9
,C50FA0.025CD (A),225,720,1076,224.89,0.1125,211.5,180,645,64.5,640,64,639,63.9
,C50FA0.05CD (A),225,720,1076,224.78,0.225,202.5,7,218,21.8,222,22.2,220,22
,C50FA0.05CD (A),225,720,1076,224.78,0.225,202.5,14,296,29.6,300,30,298,29.8
,C50FA0.05CD (A),225,720,1076,224.78,0.225,202.5,28,431,43.1,436,43.6,433,43.3
,C50FA0.05CD (A),225,720,1076,224.78,0.225,202.5,90,510,51,508,50.8,515,51.5
,C50FA0.05CD (A),225,720,1076,224.78,0.225,202.5,180,691,69.1,690,69,695,69.5
,C50FA0.1CD (A),225,720,1076,224.55,0.45,202.5,7,215,21.5,210,21,211,21.1
,C50FA0.1CD (A),225,720,1076,224.55,0.45,202.5,14,264,26.4,266,26.6,261,26.1
,C50FA0.1CD (A),225,720,1076,224.55,0.45,202.5,28,395,39.5,392,39.2,390,39
,C50FA0.1CD (A),225,720,1076,224.55,0.45,202.5,90,498,49.8,492,49.2,498,49.8
,C50FA0.1CD (A),225,720,1076,224.55,0.45,202.5,180,664,66.4,661,66.1,660,66
Batch B w/b = 0.4,C (B),520,650,1000,0,0,208,7,569,56.9,575,57.5,571,57.1
,C (B),520,650,1000,0,0,208,14,661,66.1,662,66.2,663,66.3
,C (B),520,650,1000,0,0,208,28,741,74.1,732,73.2,745,74.5
,C (B),520,650,1000,0,0,208,90,848,84.8,855,85.5,852,85.2
,C (B),520,650,1000,0,0,208,180,902,90.2,909,90.9,906,90.6
,C30FA (B),364,650,1000,156,0,208,7,387,38.7,388,38.8,383,38.3
,C30FA (B),364,650,1000,156,0,208,14,470,47,471,47.1,475,47.5
,C30FA (B),364,650,1000,156,0,208,28,574,57.4,578,57.8,578,57.8
,C30FA (B),364,650,1000,156,0,208,90,825,82.5,822,82.2,828,82.8
,C30FA (B),364,650,1000,156,0,208,180,935,93.5,932,93.2,940,94
,C50FA (B),260,650,1000,260,0,208,7,244,24.4,244,24.4,250,25
,C50FA (B),260,650,1000,260,0,208,14,330,33,327,32.7,332,33.2
,C50FA (B),260,650,1000,260,0,208,28,424,42.4,425,42.5,424,42.4
,C50FA (B),260,650,1000,260,0,208,90,525,52.5,530,53,532,53.2
,C50FA (B),260,650,1000,260,0,208,180,730,73,725,72.5,723,72.3
,C0.025CD (B),519.87,650,1000,0,0.13,208,7,592,59.2,590,59,595,59.5
,C0.025CD (B),519.87,650,1000,0,0.13,208,14,670,67,665,66.5,671,67.1
,C0.025CD (B),519.87,650,1000,0,0.13,208,28,775,77.5,772,77.2,770,77
,C0.025CD (B),519.87,650,1000,0,0.13,208,90,860,86,865,86.5,868,86.8
,C0.025CD (B),519.87,650,1000,0,0.13,208,180,909,90.9,910,91,906,90.6
,C0.05CD (B),519.74,650,1000,0,0.26,208,7,606,60.6,607,60.7,606,60.6
,C0.05CD (B),519.74,650,1000,0,0.26,208,14,681,68.1,684,68.4,685,68.5
,C0.05CD (B),519.74,650,1000,0,0.26,208,28,791,79.1,791,79.1,795,79.5
,C0.05CD (B),519.74,650,1000,0,0.26,208,90,887,88.7,885,88.5,890,89
,C0.05CD (B),519.74,650,1000,0,0.26,208,180,954,95.4,960,96,952,95.2
,C0.1CD (B),519.48,650,1000,0,0.52,208,7,596,59.6,598,59.8,600,60
,C0.1CD (B),519.48,650,1000,0,0.52,208,14,670,67,675,67.5,672,67.2
,C0.1CD (B),519.48,650,1000,0,0.52,208,28,788,78.8,783,78.3,784,78.4
,C0.1CD (B),519.48,650,1000,0,0.52,208,90,874,87.4,870,87,872,87.2
,C0.1CD (B),519.48,650,1000,0,0.52,208,180,932,93.2,927,92.7,929,92.9
,C30FA0.025CD (B),364,650,1000,155.87,0.13,208,7,389,38.9,395,39.5,384,38.4
,C30FA0.025CD (B),364,650,1000,155.87,0.13,208,14,472,47.2,475,47.5,479,47.9
,C30FA0.025CD (B),364,650,1000,155.87,0.13,208,28,600,60,610,61,605,60.5
,C30FA0.025CD (B),364,650,1000,155.87,0.13,208,90,856,85.6,855,85.5,850,85
,C30FA0.025CD (B),364,650,1000,155.87,0.13,208,180,952,95.2,945,94.5,943,94.3
,C30FA0.05CD (B),364,650,1000,155.74,0.26,208,7,404,40.4,408,40.8,400,40
,C30FA0.05CD (B),364,650,1000,155.74,0.26,208,14,498,49.8,508,50.8,505,50.5
,C30FA0.05CD (B),364,650,1000,155.74,0.26,208,28,634,63.4,640,64,642,64.2
,C30FA0.05CD (B),364,650,1000,155.74,0.26,208,90,880,88,878,87.8,874,87.4
,C30FA0.05CD (B),364,650,1000,155.74,0.26,208,180,966,96.6,970,97,961,96.1
,C30FA0.1CD (B),364,650,1000,155.48,0.52,208,7,395,39.5,400,40,398,39.8
,C30FA0.1CD (B),364,650,1000,155.48,0.52,208,14,483,48.3,488,48.8,501,50.1
,C30FA0.1CD (B),364,650,1000,155.48,0.52,208,28,625,62.5,620,62,615,61.5
,C30FA0.1CD (B),364,650,1000,155.48,0.52,208,90,864,86.4,859,85.9,863,86.3
,C30FA0.1CD (B),364,650,1000,155.48,0.52,208,180,864,86.4,859,85.9,863,86.3
,C50FA0.025CD (B),260,650,1000,259.87,0.13,208,7,232,23.2,225,22.5,228,22.8
,C50FA0.025CD (B),260,650,1000,259.87,0.13,208,14,341,34.1,344,34.4,348,34.8
,C50FA0.025CD (B),260,650,1000,259.87,0.13,208,28,462,46.2,466,46.6,465,46.5
,C50FA0.025CD (B),260,650,1000,259.87,0.13,208,90,571,57.1,569,56.9,568,56.8
,C50FA0.025CD (B),260,650,1000,259.87,0.13,208,180,766,76.6,769,76.9,766,76.6
,C50FA0.05CD (B),260,650,1000,259.74,0.26,208,7,265,26.5,267,26.7,269,26.9
,C50FA0.05CD (B),260,650,1000,259.74,0.26,208,14,372,37.2,376,37.6,377,37.7
,C50FA0.05CD (B),260,650,1000,259.74,0.26,208,28,489,48.9,485,48.5,483,48.3
,C50FA0.05CD (B),260,650,1000,259.74,0.26,208,90,598,59.8,600,60,595,59.5
,C50FA0.05CD (B),260,650,1000,259.74,0.26,208,180,792,79.2,790,79,795,79.5
,C50FA0.1CD (B),260,650,1000,259.48,0.52,208,7,250,25,254,25.4,253,25.3
,C50FA0.1CD (B),260,650,1000,259.48,0.52,208,14,354,35.4,355,35.5,359,35.9
,C50FA0.1CD (B),260,650,1000,259.48,0.52,208,28,471,47.1,475,47.5,474,47.4
,C50FA0.1CD (B),260,650,1000,259.48,0.52,208,90,575,57.5,582,58.2,580,58
,C50FA0.1CD (B),260,650,1000,259.48,0.52,208,180,775,77.5,778,77.8,779,77.9
